source_file,invoice_date,description,quantity,amount
20260501_taco236615946200854_merged.pdf,2026-05-01,Milky Mist Greek Yogurt Cup,4,192.02
20260501_taco236615946200854_merged.pdf,2026-05-01,Aashirvaad Jeera,2,92
20260501_taco236615946200854_merged.pdf,2026-05-01,Amul Fresh Paneer,2,210
20260505_taco236925496151384_merged.pdf,2026-05-05,Milky Mist High Protein Low Fat Paneer,2,228.8
20260505_taco236925496151384_merged.pdf,2026-05-05,Cluster Beans (Gorikayi),2,26
20260505_taco236925496151384_merged.pdf,2026-05-05,Carrot,1,25
20260505_taco236925496151384_merged.pdf,2026-05-05,Minimalist Vitamin C 10% Face Serum,1,664
20260505_taco236925496151384_merged.pdf,2026-05-05,Maggi Masala-Ae-Magic Mega Pack,1,99
20260505_taco236925496151384_merged.pdf,2026-05-05,TATA Sampann Unpolished Kabuli Chana,1,165
20260505_taco236925496151384_merged.pdf,2026-05-05,Harpic Marine Flushmatic In-Cistern Block Toilet Cleaner,1,161
20260505_taco236925496151384_merged.pdf,2026-05-05,Bottle Gourd ( Sorekaayi),2,58
20260505_taco236925496151384_merged.pdf,2026-05-05,Lady's Finger (Bendekaayi),1,14
20260505_taco236925496151384_merged.pdf,2026-05-05,Sweet Royal Gala Apple (Sebu),1,125
20260505_taco236925496151384_merged.pdf,2026-05-05,Amul Gold Homogenised Standardised Full Cream Milk,2,166
20260507_taco237099164559118_merged.pdf,2026-05-07,Everest Chhole Masala,1,45
20260507_taco237099164559118_merged.pdf,2026-05-07,Catch Coriander Powder,1,27
20260507_taco237099164559118_merged.pdf,2026-05-07,Indian Tomato,2,44
20260507_taco237099164559118_merged.pdf,2026-05-07,Milky Mist Greek Yogurt Cup,4,192.02
20260507_taco237099164559118_merged.pdf,2026-05-07,Carrot,1,26
20260507_taco237099164559118_merged.pdf,2026-05-07,Cauliflower (Hoo Kosu),1,21
20260507_taco237099164559118_merged.pdf,2026-05-07,Beetroot,1,30
20260509_taco237287586120452_merged.pdf,2026-05-09,LetsShave Pro 2 Plus Disposable Razor for Men | Twin Blade Shaving Razor with Lubrication Strip | Set of 5,1,97
20260509_taco237287586120452_merged.pdf,2026-05-09,Aashirvaad Select Sharbati Atta,4,288
20260509_taco237287586120452_merged.pdf,2026-05-09,Amul Gold Homogenised Standardised Full Cream Milk,1,83
20260509_taco237287586120452_merged.pdf,2026-05-09,Oral-B Pro Clean Sensitive Extra Soft Toothbrush,1,45
